epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.72452,1.06768,2.38176,1.61114,0.57518,0.71778,0.69365,0.37384,1.16919,3.40118,2.23617,0.000648649,0.000648649,0.000648649
2,11.0675,1.13916,1.78221,1.6523,0.37149,0.36145,0.26332,0.08592,2.52418,4.14627,4.84848,0.00130229,0.00130229,0.00130229
3,16.3704,1.2386,1.6887,1.73389,0.53855,0.43373,0.42061,0.16648,1.8453,3.33021,3.3193,0.00194274,0.00194274,0.00194274
4,21.6343,1.23537,1.56396,1.70981,0.1555,0.26506,0.12161,0.03566,2.28751,3.2024,3.73185,0.0019406,0.0019406,0.0019406
5,26.8991,1.22395,1.44819,1.69489,0.2135,0.40964,0.18502,0.07537,2.20926,3.38379,3.14875,0.0019208,0.0019208,0.0019208
6,32.1575,1.20949,1.35256,1.69553,0.41348,0.45783,0.37319,0.16116,1.89238,2.57247,2.74987,0.001901,0.001901,0.001901
7,37.4221,1.13379,1.18762,1.60917,0.74311,0.6747,0.69839,0.33767,1.65708,2.11145,2.84796,0.0018812,0.0018812,0.0018812
8,42.6744,1.17855,1.19878,1.65649,0.77405,0.72289,0.80219,0.36956,1.72214,1.28304,2.7908,0.0018614,0.0018614,0.0018614
9,47.9298,1.10427,1.06601,1.58624,0.63336,0.62651,0.54208,0.19743,1.9798,1.87497,3.19791,0.0018416,0.0018416,0.0018416
10,53.1748,1.10859,1.06148,1.61269,0.59326,0.60241,0.54753,0.23023,1.91864,1.81738,2.96258,0.0018218,0.0018218,0.0018218
11,58.4336,1.07728,0.99284,1.55916,0.74551,0.83133,0.82494,0.34986,1.88557,1.30441,2.84399,0.001802,0.001802,0.001802
12,63.6791,1.03655,0.96937,1.53173,0.6865,0.78313,0.72418,0.36581,1.77985,1.64974,2.73153,0.0017822,0.0017822,0.0017822
13,68.9269,1.07744,0.95453,1.57065,0.83206,0.77606,0.76655,0.44987,1.49768,1.24423,2.35222,0.0017624,0.0017624,0.0017624
14,74.1869,1.00377,0.88504,1.4927,0.72773,0.79518,0.76773,0.3565,1.81779,1.27493,2.70603,0.0017426,0.0017426,0.0017426
15,79.4451,1.02347,0.88887,1.53366,0.71137,0.74699,0.67137,0.37613,1.70088,1.29236,2.79727,0.0017228,0.0017228,0.0017228
16,84.6932,1.02209,0.87762,1.53171,0.7554,0.7442,0.74924,0.38199,1.69493,1.2401,2.64901,0.001703,0.001703,0.001703
17,89.9461,0.97513,0.84738,1.48498,0.87554,0.84337,0.89372,0.52527,1.34607,1.02761,2.23637,0.0016832,0.0016832,0.0016832
18,95.2077,0.9461,0.82706,1.47071,0.88844,0.87952,0.9064,0.57124,1.28185,0.96502,2.15463,0.0016634,0.0016634,0.0016634
19,100.473,0.94711,0.80218,1.47443,0.82193,0.85542,0.87724,0.54272,1.3764,0.98684,2.1761,0.0016436,0.0016436,0.0016436
20,105.723,0.90401,0.77406,1.42788,0.88993,0.87676,0.87208,0.56446,1.40147,0.84824,2.16348,0.0016238,0.0016238,0.0016238
21,110.97,0.9143,0.74021,1.41086,0.86127,0.89762,0.92372,0.56353,1.32613,0.85761,2.07754,0.001604,0.001604,0.001604
22,116.216,0.92304,0.75343,1.44184,0.80519,0.74696,0.79832,0.4567,1.54778,1.20727,2.46655,0.0015842,0.0015842,0.0015842
23,121.482,0.90046,0.76786,1.41326,0.83784,0.75904,0.84005,0.44941,1.46766,1.16808,2.40518,0.0015644,0.0015644,0.0015644
24,126.711,0.89407,0.76287,1.42298,0.84938,0.85542,0.87986,0.54279,1.30554,0.8978,2.16169,0.0015446,0.0015446,0.0015446
25,131.961,0.9039,0.71504,1.42502,0.8936,0.89157,0.91538,0.59429,1.28463,0.78817,2.18084,0.0015248,0.0015248,0.0015248
