epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.38988,1.09762,2.12156,1.55141,0.79162,0.83824,0.82719,0.45465,1.5705,1.95084,1.68106,0.000655172,0.000655172,0.000655172
2,12.3803,1.05363,1.10482,1.44106,0.65332,0.73529,0.7515,0.3467,1.90575,1.96181,1.97243,0.00130875,0.00130875,0.00130875
3,18.3258,1.08038,0.96418,1.43747,0.77691,0.80882,0.83046,0.42821,1.70352,1.25307,1.73264,0.00194913,0.00194913,0.00194913
4,24.4098,1.03566,0.85441,1.42,0.77051,0.79412,0.85004,0.46981,1.63528,1.05794,1.69751,0.0019406,0.0019406,0.0019406
5,30.4711,1.05238,0.82875,1.42419,0.76972,0.78653,0.8425,0.40453,1.85168,1.49275,1.87157,0.0019208,0.0019208,0.0019208
6,36.5131,1.06016,0.79988,1.43047,0.88037,0.86579,0.89426,0.48716,1.67889,1.01576,1.73566,0.001901,0.001901,0.001901
7,42.6282,1.07294,0.79014,1.42161,0.82824,0.86765,0.8766,0.48423,1.63643,1.12477,1.6922,0.0018812,0.0018812,0.0018812
8,48.5685,0.976,0.71978,1.36023,0.83814,0.75,0.82858,0.42643,1.86745,1.00773,1.82597,0.0018614,0.0018614,0.0018614
9,54.491,0.96173,0.69049,1.34108,0.88767,0.82353,0.88399,0.50566,1.6473,0.82674,1.68179,0.0018416,0.0018416,0.0018416
10,60.4231,0.93558,0.67856,1.33532,0.89791,0.77607,0.848,0.50855,1.47566,0.99925,1.54646,0.0018218,0.0018218,0.0018218
11,66.3375,0.94796,0.6637,1.32987,0.82664,0.79412,0.81528,0.47021,1.52182,1.04599,1.57469,0.001802,0.001802,0.001802
12,72.2588,0.94375,0.66495,1.3249,0.8236,0.83824,0.89236,0.54461,1.42902,0.80942,1.52083,0.0017822,0.0017822,0.0017822
13,78.1776,0.94123,0.65173,1.321,0.79373,0.88235,0.8857,0.57724,1.18126,0.92796,1.36516,0.0017624,0.0017624,0.0017624
14,84.1133,0.90798,0.62506,1.30502,0.97001,0.88235,0.94156,0.58029,1.31932,0.68534,1.45718,0.0017426,0.0017426,0.0017426
15,90.0278,0.91476,0.63018,1.30318,0.88834,0.81906,0.86466,0.55404,1.3233,0.89596,1.42698,0.0017228,0.0017228,0.0017228
16,95.9541,0.89936,0.63064,1.30652,0.81101,0.75734,0.85419,0.53942,1.34655,0.9444,1.50447,0.001703,0.001703,0.001703
17,101.866,0.87418,0.59475,1.28913,0.91779,0.82094,0.89855,0.59442,1.3217,0.80601,1.40136,0.0016832,0.0016832,0.0016832
18,107.79,0.88254,0.59589,1.28651,0.91953,0.84023,0.93047,0.60708,1.28394,0.72706,1.39652,0.0016634,0.0016634,0.0016634
