epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.360812,1.09078,2.7454,1.48709,0.56633,0.85,0.8784,0.63412,1.65125,1.03165,1.38057,0,0,0
2,0.6053,1.18737,2.79638,1.48877,0.55725,0.85,0.88647,0.63455,1.67181,1.02464,1.38379,1.17822e-06,1.17822e-06,1.17822e-06
3,0.852993,1.09902,2.50974,1.22096,0.56102,0.85,0.85075,0.61539,1.68781,1.01167,1.38933,2.33288e-06,2.33288e-06,2.33288e-06
4,1.0707,1.18898,2.74964,1.49746,0.54584,0.85,0.85608,0.63482,1.67156,0.99183,1.36969,3.46397e-06,3.46397e-06,3.46397e-06
5,1.29173,1.20505,2.44657,1.61831,0.54889,0.85,0.85777,0.63681,1.66816,1.01301,1.36542,4.5715e-06,4.5715e-06,4.5715e-06
6,1.52328,0.83256,1.92702,1.14576,0.54335,0.85903,0.85724,0.62801,1.68116,1.01212,1.3728,5.65548e-06,5.65548e-06,5.65548e-06
7,1.74598,1.40598,2.77424,1.77225,0.53275,0.86277,0.85848,0.62858,1.67687,1.0216,1.37324,6.71588e-06,6.71588e-06,6.71588e-06
8,1.96009,1.19045,3.86115,1.65169,0.56414,0.86667,0.86386,0.63232,1.67681,1.02712,1.36583,7.75273e-06,7.75273e-06,7.75273e-06
9,2.19371,0.90031,2.96273,1.27735,0.55383,0.86667,0.85988,0.63027,1.67316,1.02814,1.36132,8.76602e-06,8.76602e-06,8.76602e-06
10,2.41354,1.04371,2.18184,1.2739,0.53047,0.86667,0.89476,0.64254,1.67038,1.03323,1.3598,9.75574e-06,9.75574e-06,9.75574e-06
11,2.64489,1.19139,2.26895,1.56923,0.62774,0.94492,0.90932,0.64357,1.66895,1.03414,1.35861,1.07219e-05,1.07219e-05,1.07219e-05
12,2.8791,1.00499,2.28377,1.37756,0.63831,0.94396,0.90902,0.64478,1.67601,1.04929,1.36118,1.16645e-05,1.16645e-05,1.16645e-05
13,3.10825,1.36343,3.25064,1.80222,0.61827,0.95,0.90872,0.64726,1.68301,1.05827,1.36409,1.25835e-05,1.25835e-05,1.25835e-05
14,3.33913,0.79161,2.37967,1.20484,0.62573,0.95,0.91033,0.64716,1.69045,1.07272,1.3659,1.3479e-05,1.3479e-05,1.3479e-05
15,3.57009,1.29181,3.04603,1.52925,0.63575,0.78333,0.90943,0.64717,1.69484,1.08052,1.36881,1.43509e-05,1.43509e-05,1.43509e-05
16,3.78576,1.21598,2.077,1.51981,0.64081,0.78333,0.91059,0.63535,1.67597,1.08226,1.3602,1.51993e-05,1.51993e-05,1.51993e-05
17,4.01355,0.81051,1.56152,1.17745,0.86655,0.65,0.87902,0.62339,1.68216,1.09293,1.36434,1.60241e-05,1.60241e-05,1.60241e-05
18,4.22079,0.62356,1.33034,0.99765,0.86655,0.65,0.87902,0.62339,1.68216,1.09293,1.36434,1.68253e-05,1.68253e-05,1.68253e-05
19,4.44131,0.68534,1.53303,1.03273,0.83312,0.65,0.8719,0.62212,1.69495,1.12596,1.37539,1.7603e-05,1.7603e-05,1.7603e-05
20,4.65027,1.15015,1.73577,1.33565,0.83312,0.65,0.8719,0.62212,1.69495,1.12596,1.37539,1.83571e-05,1.83571e-05,1.83571e-05
21,4.87378,0.76023,1.79688,1.17685,0.80592,0.65,0.85417,0.61015,1.69272,1.1688,1.37751,1.90876e-05,1.90876e-05,1.90876e-05
22,5.09519,1.04809,1.70202,1.22637,0.80592,0.65,0.85417,0.61015,1.69272,1.1688,1.37751,1.97946e-05,1.97946e-05,1.97946e-05
23,5.32849,0.97382,1.80149,1.40477,0.79731,0.65,0.85592,0.61086,1.69177,1.19898,1.37847,2.0478e-05,2.0478e-05,2.0478e-05
24,5.54006,0.91468,1.64292,1.22833,0.79731,0.65,0.85592,0.61086,1.69177,1.19898,1.37847,2.11379e-05,2.11379e-05,2.11379e-05
25,5.75647,0.68287,1.9961,1.07345,0.80166,0.65,0.85555,0.59174,1.70047,1.22942,1.38463,2.17741e-05,2.17741e-05,2.17741e-05
26,5.97213,0.85284,1.30335,1.17652,0.80166,0.65,0.85555,0.59174,1.70047,1.22942,1.38463,2.23869e-05,2.23869e-05,2.23869e-05
27,6.18956,0.98702,1.52227,1.42677,0.79799,0.65,0.8557,0.59392,1.70695,1.28318,1.39409,2.2976e-05,2.2976e-05,2.2976e-05
28,6.41111,0.94528,1.21236,1.24082,0.79799,0.65,0.8557,0.59392,1.70695,1.28318,1.39409,2.35417e-05,2.35417e-05,2.35417e-05
29,6.63789,0.94965,1.685,1.29538,0.77967,0.65,0.85541,0.59842,1.69425,1.30174,1.38894,2.40837e-05,2.40837e-05,2.40837e-05
30,6.8463,1.11238,1.28304,1.41817,0.77967,0.65,0.85541,0.59842,1.69425,1.30174,1.38894,2.46022e-05,2.46022e-05,2.46022e-05
31,7.07758,1.0054,1.67473,1.33011,0.76251,0.65,0.85537,0.58046,1.68394,1.34729,1.38591,2.50971e-05,2.50971e-05,2.50971e-05
32,7.29121,0.6714,1.49293,1.31062,0.76251,0.65,0.85537,0.58046,1.68394,1.34729,1.38591,2.55685e-05,2.55685e-05,2.55685e-05
33,7.52198,1.07054,1.96756,1.35842,0.77669,0.65,0.86257,0.56579,1.64928,1.38133,1.36907,2.60163e-05,2.60163e-05,2.60163e-05
34,7.73653,1.09834,1.89462,1.47482,0.77669,0.65,0.86257,0.56579,1.64928,1.38133,1.36907,2.64405e-05,2.64405e-05,2.64405e-05
35,7.95992,0.92431,1.2694,1.30936,0.77638,0.65,0.85257,0.56374,1.6201,1.4076,1.35268,2.68412e-05,2.68412e-05,2.68412e-05
