epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,335.785,0.8141,0.54725,1.30365,0.90736,0.86428,0.92026,0.62379,1.21642,0.69346,1.42475,0.0011882,0.0011882,0.0011882
43,343.71,0.78602,0.54968,1.28334,0.92324,0.70757,0.85514,0.5609,1.2763,0.82047,1.51766,0.0011684,0.0011684,0.0011684
44,351.702,0.78022,0.53658,1.2741,0.93517,0.80882,0.89449,0.54928,1.49759,0.91438,1.67949,0.0011486,0.0011486,0.0011486
45,359.846,0.78721,0.53638,1.28999,0.90847,0.79412,0.88728,0.5742,1.33294,0.78013,1.54655,0.0011288,0.0011288,0.0011288
46,367.942,0.77065,0.54191,1.2754,0.87078,0.89193,0.93894,0.58026,1.358,0.71246,1.50668,0.001109,0.001109,0.001109
47,376.124,0.76407,0.51959,1.2512,0.92572,0.79412,0.88341,0.57941,1.36666,0.87394,1.58494,0.0010892,0.0010892,0.0010892
48,384.208,0.77003,0.52164,1.26584,0.88437,0.76471,0.86146,0.64998,0.97956,0.94651,1.2588,0.0010694,0.0010694,0.0010694
49,392.245,0.75964,0.50789,1.26087,0.86238,0.86765,0.92236,0.66715,1.02169,0.63943,1.26756,0.0010496,0.0010496,0.0010496
50,400.249,0.74529,0.51334,1.24334,0.92409,0.91176,0.95001,0.6102,1.37631,0.64412,1.5111,0.0010298,0.0010298,0.0010298
51,408.142,0.75935,0.49599,1.25996,0.9155,0.76471,0.85878,0.50256,1.68588,1.01674,1.79049,0.00101,0.00101,0.00101
52,416.091,0.75712,0.50909,1.25763,0.8785,0.89706,0.92031,0.65268,1.0846,0.67673,1.35951,0.0009902,0.0009902,0.0009902
53,424.162,0.71909,0.48188,1.21906,0.92484,0.90489,0.9538,0.64546,1.24455,0.62158,1.49036,0.0009704,0.0009704,0.0009704
54,432.288,0.73383,0.48117,1.25004,0.96532,0.81866,0.91798,0.58891,1.35409,0.73712,1.58087,0.0009506,0.0009506,0.0009506
