epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,685.827,0.80315,0.61373,1.09662,0.89706,0.79774,0.86965,0.62816,0.93433,0.65308,1.0834,0.0005941,0.0005941,0.0005941
43,702.463,0.79333,0.59529,1.09398,0.92981,0.76849,0.85893,0.62284,0.93959,0.63147,1.09931,0.0005842,0.0005842,0.0005842
44,719.255,0.80695,0.599,1.08556,0.88893,0.80846,0.87269,0.64129,0.91774,0.61071,1.07629,0.0005743,0.0005743,0.0005743
45,735.89,0.79153,0.58335,1.09072,0.87509,0.82638,0.88219,0.63195,0.93098,0.63132,1.07376,0.0005644,0.0005644,0.0005644
46,752.562,0.80669,0.59939,1.08793,0.86344,0.80149,0.86178,0.62708,0.92518,0.65572,1.08456,0.0005545,0.0005545,0.0005545
47,768.943,0.79458,0.59198,1.08992,0.87251,0.82275,0.87091,0.63676,0.92086,0.63329,1.08192,0.0005446,0.0005446,0.0005446
48,785.347,0.80477,0.58836,1.07852,0.88055,0.81305,0.86651,0.63369,0.91993,0.62025,1.07366,0.0005347,0.0005347,0.0005347
49,801.785,0.792,0.58992,1.07583,0.88435,0.81464,0.88166,0.64537,0.91229,0.63592,1.0756,0.0005248,0.0005248,0.0005248
50,818.186,0.77583,0.57232,1.07292,0.87506,0.81914,0.87339,0.64296,0.91166,0.61678,1.07089,0.0005149,0.0005149,0.0005149
51,834.603,0.78317,0.57235,1.07785,0.88692,0.80455,0.87416,0.63804,0.92601,0.63651,1.08293,0.000505,0.000505,0.000505
52,850.889,0.78028,0.5729,1.07442,0.87335,0.82445,0.87198,0.64077,0.90645,0.61956,1.06547,0.0004951,0.0004951,0.0004951
53,867.17,0.77958,0.56429,1.07042,0.88499,0.815,0.8772,0.64071,0.90588,0.61541,1.06759,0.0004852,0.0004852,0.0004852
54,883.566,0.77008,0.55724,1.07745,0.88017,0.82028,0.87575,0.6459,0.91387,0.61436,1.07298,0.0004753,0.0004753,0.0004753
55,899.914,0.74524,0.5484,1.06683,0.89989,0.80324,0.86946,0.63601,0.91706,0.60234,1.07283,0.0004654,0.0004654,0.0004654
56,916.328,0.75632,0.55266,1.0617,0.89038,0.80778,0.87293,0.64294,0.907,0.60484,1.07349,0.0004555,0.0004555,0.0004555
57,932.689,0.76022,0.54656,1.06366,0.8968,0.81891,0.87871,0.65036,0.89602,0.59968,1.05831,0.0004456,0.0004456,0.0004456
58,949.065,0.77033,0.54659,1.05962,0.89702,0.79824,0.87404,0.64915,0.89849,0.60636,1.07129,0.0004357,0.0004357,0.0004357
59,965.46,0.76071,0.53613,1.06639,0.89173,0.80919,0.86678,0.63161,0.92355,0.60656,1.08065,0.0004258,0.0004258,0.0004258
60,982.125,0.74609,0.53049,1.05228,0.89518,0.82418,0.88324,0.654,0.88501,0.57278,1.05841,0.0004159,0.0004159,0.0004159
61,998.74,0.76467,0.53869,1.05885,0.8923,0.82188,0.87524,0.64797,0.87722,0.57754,1.04551,0.000406,0.000406,0.000406
62,1015.17,0.73689,0.52651,1.05542,0.91921,0.79722,0.88291,0.65393,0.86372,0.5897,1.04123,0.0003961,0.0003961,0.0003961
63,1031.7,0.74016,0.52616,1.05393,0.88388,0.82156,0.87992,0.66374,0.85837,0.57432,1.03315,0.0003862,0.0003862,0.0003862
64,1048.31,0.72059,0.51455,1.04821,0.89929,0.82535,0.87931,0.65129,0.88544,0.58837,1.05416,0.0003763,0.0003763,0.0003763
65,1065,0.73777,0.51905,1.04793,0.88163,0.81317,0.88083,0.65672,0.86435,0.57257,1.03767,0.0003664,0.0003664,0.0003664
66,1081.56,0.73016,0.51813,1.05472,0.88843,0.82551,0.88567,0.6614,0.87341,0.57685,1.04542,0.0003565,0.0003565,0.0003565
67,1097.93,0.72031,0.50215,1.03828,0.91303,0.80731,0.87862,0.6576,0.86118,0.57496,1.03889,0.0003466,0.0003466,0.0003466
68,1114.33,0.7326,0.51621,1.0522,0.90237,0.83327,0.8876,0.65836,0.87862,0.56927,1.04902,0.0003367,0.0003367,0.0003367
69,1130.69,0.72973,0.51065,1.04219,0.90599,0.82827,0.89365,0.67031,0.86782,0.55516,1.03968,0.0003268,0.0003268,0.0003268
70,1147.1,0.74372,0.50756,1.04144,0.88938,0.82285,0.88164,0.6612,0.86593,0.56507,1.03847,0.0003169,0.0003169,0.0003169
71,1163.53,0.71233,0.49907,1.03573,0.8743,0.84073,0.88953,0.65897,0.87147,0.56918,1.04671,0.000307,0.000307,0.000307
72,1179.94,0.70707,0.49271,1.03641,0.87029,0.83885,0.88634,0.66642,0.86529,0.56255,1.0393,0.0002971,0.0002971,0.0002971
73,1196.25,0.70907,0.49685,1.03232,0.89418,0.83008,0.88583,0.6622,0.86131,0.56377,1.04303,0.0002872,0.0002872,0.0002872
74,1212.62,0.69637,0.49102,1.03425,0.91494,0.81934,0.89007,0.66816,0.86793,0.55518,1.04007,0.0002773,0.0002773,0.0002773
75,1229.31,0.70847,0.48321,1.02798,0.91696,0.82406,0.89037,0.66654,0.86023,0.55946,1.03124,0.0002674,0.0002674,0.0002674
76,1245.99,0.70942,0.49033,1.0379,0.91639,0.83722,0.89319,0.6739,0.85858,0.54531,1.03805,0.0002575,0.0002575,0.0002575
77,1262.56,0.69331,0.47327,1.02025,0.91991,0.8264,0.89014,0.67361,0.844,0.5425,1.02381,0.0002476,0.0002476,0.0002476
78,1279.04,0.69374,0.47695,1.02802,0.9073,0.82702,0.8853,0.66906,0.84766,0.55434,1.02636,0.0002377,0.0002377,0.0002377
79,1295.33,0.68978,0.47222,1.0277,0.89688,0.83611,0.8945,0.67531,0.84827,0.53712,1.02552,0.0002278,0.0002278,0.0002278
80,1311.69,0.68224,0.46819,1.01887,0.9012,0.82977,0.89171,0.67588,0.84412,0.53688,1.02061,0.0002179,0.0002179,0.0002179
81,1328.27,0.68134,0.46419,1.02151,0.90122,0.84138,0.89677,0.67461,0.85755,0.54307,1.03143,0.000208,0.000208,0.000208
82,1344.7,0.69431,0.48118,1.03252,0.89855,0.8286,0.88338,0.67105,0.84353,0.53741,1.02713,0.0001981,0.0001981,0.0001981
83,1361.12,0.66553,0.4629,1.01911,0.90303,0.83496,0.89337,0.67635,0.86088,0.54429,1.03998,0.0001882,0.0001882,0.0001882
84,1377.82,0.68312,0.45825,1.02112,0.91723,0.83552,0.8922,0.67303,0.8447,0.53218,1.02422,0.0001783,0.0001783,0.0001783
85,1394.32,0.66238,0.45375,1.00964,0.91785,0.82763,0.89161,0.67712,0.83296,0.52468,1.0179,0.0001684,0.0001684,0.0001684
86,1410.6,0.66403,0.45288,1.0232,0.89587,0.84894,0.89877,0.68087,0.83813,0.52963,1.01982,0.0001585,0.0001585,0.0001585
87,1426.99,0.65959,0.44946,1.01147,0.90942,0.84163,0.89818,0.67645,0.84296,0.53416,1.02651,0.0001486,0.0001486,0.0001486
88,1443.23,0.66056,0.4491,1.01793,0.90969,0.82807,0.89637,0.6825,0.82731,0.52502,1.01654,0.0001387,0.0001387,0.0001387
89,1459.52,0.67581,0.45685,1.01327,0.89559,0.85091,0.89652,0.68402,0.83101,0.52744,1.0178,0.0001288,0.0001288,0.0001288
90,1475.71,0.64466,0.43522,1.00763,0.90334,0.83764,0.89527,0.68321,0.83256,0.53558,1.01815,0.0001189,0.0001189,0.0001189
91,1492.22,0.66062,0.41014,0.96994,0.91808,0.82821,0.8896,0.6742,0.8356,0.53322,1.02359,0.000109,0.000109,0.000109
92,1508.43,0.66047,0.40525,0.9696,0.92568,0.83425,0.89426,0.67884,0.83342,0.52788,1.02054,9.91e-05,9.91e-05,9.91e-05
93,1524.61,0.65573,0.3967,0.96886,0.90537,0.83497,0.89281,0.6799,0.8353,0.52931,1.02062,8.92e-05,8.92e-05,8.92e-05
94,1540.72,0.63827,0.38871,0.95827,0.89125,0.8462,0.89504,0.68329,0.82796,0.52476,1.01494,7.93e-05,7.93e-05,7.93e-05
95,1556.91,0.64139,0.39409,0.963,0.90452,0.83958,0.89566,0.68653,0.82507,0.52006,1.01528,6.94e-05,6.94e-05,6.94e-05
96,1573.06,0.6363,0.38474,0.95929,0.9156,0.83605,0.89427,0.68566,0.82314,0.51662,1.01403,5.95e-05,5.95e-05,5.95e-05
97,1589.24,0.62598,0.3769,0.95519,0.92078,0.83216,0.89535,0.68554,0.82465,0.51392,1.01543,4.96e-05,4.96e-05,4.96e-05
98,1605.42,0.6261,0.38784,0.96151,0.90286,0.84395,0.89698,0.68874,0.8188,0.51205,1.01146,3.97e-05,3.97e-05,3.97e-05
99,1621.64,0.61773,0.37721,0.94982,0.89908,0.85222,0.89621,0.68789,0.82243,0.51523,1.01566,2.98e-05,2.98e-05,2.98e-05
100,1637.79,0.62214,0.37721,0.95732,0.90738,0.84533,0.89533,0.68797,0.82188,0.51394,1.01566,1.99e-05,1.99e-05,1.99e-05
